,en,fr,es,de,ru,pl
225,base,,,,,
226,baseball,,,,,
227,based,,,,,
228,basic,,,,,
229,basically,,,,,
230,basis,,,,,
231,basketball,,,,,
232,bath,,,,,
233,bathroom,,,,,
234,battery,,,,,
235,battle,,,,,
236,be,,,,,
237,beach,,,,,
238,bean,,,,,
239,bear,,,,,
240,bear,,,,,
241,beat,,,,,
242,beautiful,,,,,
243,beauty,,,,,
244,because,,,,,
245,become,,,,,
246,bed,,,,,
247,bedroom,,,,,
248,bee,,,,,
249,beef,,,,,
250,beer,,,,,
251,before,,,,,
252,beg,,,,,
253,begin,,,,,
254,beginning,,,,,
255,behave,,,,,
256,behaviour,,,,,
257,behind,,,,,
258,being,,,,,
259,belief,,,,,
260,believe,,,,,
261,bell,,,,,
262,belong,,,,,
263,below,,,,,
264,belt,,,,,
265,bend,,,,,
266,benefit,,,,,
267,bent,,,,,
268,best,,,,,
269,bet,,,,,
270,better,,,,,
271,between,,,,,
272,beyond,,,,,
273,bicycle,,,,,
274,big,,,,,
275,bike,,,,,
276,bill,,,,,
277,billion,,,,,
278,bin,,,,,
279,biology,,,,,
280,bird,,,,,
281,birth,,,,,
282,birthday,,,,,
283,biscuit,,,,,
284,bit,,,,,
285,bite,,,,,
286,bitter,,,,,
287,black,,,,,
288,blame,,,,,
289,blank,,,,,
290,blind,,,,,
291,block,,,,,
292,blog,,,,,
293,blonde,,,,,
294,blood,,,,,
295,blow,,,,,
296,blue,,,,,
297,board,,,,,
298,boat,,,,,
299,body,,,,,
300,boil,,,,,
301,bomb,,,,,
302,bond,,,,,
303,bone,,,,,
304,book,,,,,
305,boot,,,,,
306,border,,,,,
307,bored,,,,,
308,boring,,,,,
309,born,,,,,
310,borrow,,,,,
311,boss,,,,,
312,both,,,,,
313,bother,,,,,
314,bottle,,,,,
315,bottom,,,,,
316,bowl,,,,,
317,box,,,,,
318,boy,,,,,
319,boyfriend,,,,,
320,brain,,,,,
321,branch,,,,,
322,brand,,,,,
323,brave,,,,,
324,bread,,,,,
325,break,,,,,
326,breakfast,,,,,
327,breast,,,,,
328,breath,,,,,
329,breathe,,,,,
330,breathing,,,,,
331,bride,,,,,
332,bridge,,,,,
333,brief,,,,,
334,bright,,,,,
335,brilliant,,,,,
336,bring,,,,,
337,broad,,,,,
338,broadcast,,,,,
339,broken,,,,,
340,brother,,,,,
341,brown,,,,,
342,brush,,,,,
343,bubble,,,,,
344,budget,,,,,
345,build,,,,,
346,building,,,,,
347,bullet,,,,,
348,bunch,,,,,
349,burn,,,,,
350,bury,,,,,
351,bus,,,,,
352,bush,,,,,
353,business,,,,,
354,businessman,,,,,
355,busy,,,,,
356,but,,,,,
357,butter,,,,,
358,button,,,,,
359,buy,,,,,
360,by,,,,,
361,bye,,,,,
362,cable,,,,,
363,cafe,,,,,
364,cake,,,,,
365,calculate,,,,,
366,call,,,,,
367,calm,,,,,
368,camera,,,,,
369,camp,,,,,
370,campaign,,,,,
371,camping,,,,,
372,campus,,,,,
373,can1,,,,,
374,can2,,,,,
375,cancel,,,,,
376,cancer,,,,,
377,candidate,,,,,
378,cannot,,,,,
379,cap,,,,,
380,capable,,,,,
381,capacity,,,,,
382,capital,,,,,
383,captain,,,,,
384,capture,,,,,
385,car,,,,,
386,card,,,,,
387,care,,,,,
388,career,,,,,
389,careful,,,,,
390,carefully,,,,,
391,careless,,,,,
392,carpet,,,,,
393,carrot,,,,,
394,carry,,,,,
395,cartoon,,,,,
396,case,,,,,
397,cash,,,,,
398,cast,,,,,
399,castle,,,,,
400,cat,,,,,
401,catch,,,,,
402,category,,,,,
403,cause,,,,,
404,CD,,,,,
405,ceiling,,,,,
406,celebrate,,,,,
407,celebration,,,,,
408,celebrity,,,,,
409,cell,,,,,
410,cent,,,,,
411,central,,,,,
412,centre,,,,,
413,century,,,,,
414,ceremony,,,,,
415,certain,,,,,
416,certainly,,,,,
417,chain,,,,,
418,chair,,,,,
419,chairman,,,,,
420,challenge,,,,,
421,champion,,,,,
422,chance,,,,,
423,change,,,,,
424,channel,,,,,
425,chapter,,,,,
426,character,,,,,
427,characteristic,,,,,
428,charge,,,,,
429,charity,,,,,
430,chart,,,,,
431,chat,,,,,
432,cheap,,,,,
433,cheat,,,,,
434,check,,,,,
435,cheerful,,,,,
436,cheese,,,,,
437,chef,,,,,
438,chemical,,,,,
439,chemistry,,,,,
440,chest,,,,,
441,chicken,,,,,
442,chief,,,,,
443,child,,,,,
444,childhood,,,,,
445,chip,,,,,
446,chocolate,,,,,
447,choice,,,,,
448,choose,,,,,
449,church,,,,,
450,cigarette,,,,,
451,cinema,,,,,
452,circle,,,,,
453,circumstance,,,,,
454,cite,,,,,
455,citizen,,,,,
456,city,,,,,
457,civil,,,,,
458,claim,,,,,
459,class,,,,,
460,classic,,,,,
461,classical,,,,,
462,classroom,,,,,
463,clause,,,,,
464,clean,,,,,
465,clear,,,,,
466,clearly,,,,,
467,clever,,,,,
468,click,,,,,
469,client,,,,,
470,climate,,,,,
471,climb,,,,,
472,clock,,,,,
473,close1,,,,,
474,close2,,,,,
475,closed,,,,,
476,closely,,,,,
477,cloth,,,,,
478,clothes,,,,,
479,clothing,,,,,
480,cloud,,,,,
481,club,,,,,
482,clue,,,,,
483,coach,,,,,
484,coal,,,,,
485,coast,,,,,
486,coat,,,,,
487,code,,,,,
488,coffee,,,,,
489,coin,,,,,
490,cold,,,,,
491,collapse,,,,,
492,colleague,,,,,
493,collect,,,,,
494,collection,,,,,
495,college,,,,,
496,colour,,,,,
497,coloured,,,,,
498,column,,,,,
499,combination,,,,,
500,combine,,,,,
501,come,,,,,
502,comedy,,,,,
503,comfort,,,,,
504,comfortable,,,,,
505,command,,,,,
506,comment,,,,,
507,commercial,,,,,
508,commission,,,,,
509,commit,,,,,
510,commitment,,,,,
511,committee,,,,,
512,common,,,,,
513,commonly,,,,,
514,communicate,,,,,
515,communication,,,,,
516,community,,,,,
517,company,,,,,
518,compare,,,,,
519,comparison,,,,,
520,compete,,,,,
521,competition,,,,,
522,competitive,,,,,
523,competitor,,,,,
524,complain,,,,,
525,complaint,,,,,
526,complete,,,,,
527,completely,,,,,
528,complex,,,,,
529,complicated,,,,,
530,component,,,,,
531,computer,,,,,
532,concentrate,,,,,
533,concentration,,,,,
534,concept,,,,,
535,concern,,,,,
536,concerned,,,,,
537,concert,,,,,
538,conclude,,,,,
539,conclusion,,,,,
540,condition,,,,,
541,conduct,,,,,
542,conference,,,,,
543,confidence,,,,,
544,confident,,,,,
545,confirm,,,,,
546,conflict,,,,,
547,confuse,,,,,
548,confused,,,,,
549,confusing,,,,,
550,connect,,,,,
551,connected,,,,,
552,connection,,,,,
553,conscious,,,,,
554,consequence,,,,,
555,conservative,,,,,
556,consider,,,,,
557,consideration,,,,,
558,consist,,,,,
559,consistent,,,,,
560,constant,,,,,
561,constantly,,,,,
562,construct,,,,,
563,construction,,,,,
564,consume,,,,,
565,consumer,,,,,
566,contact,,,,,
567,contain,,,,,
568,container,,,,,
569,contemporary,,,,,
570,content1,,,,,
571,contest,,,,,
572,context,,,,,
573,continent,,,,,
574,continue,,,,,
575,continuous,,,,,
576,contract,,,,,
577,contrast,,,,,
578,contribute,,,,,
579,contribution,,,,,
580,control,,,,,
581,convenient,,,,,
582,conversation,,,,,
583,convert,,,,,
584,convince,,,,,
585,convinced,,,,,
586,cook,,,,,
587,cooker,,,,,
588,cooking,,,,,
589,cool,,,,,
590,copy,,,,,
591,core,,,,,
592,corner,,,,,
593,corporate,,,,,
594,correct,,,,,
595,correctly,,,,,
596,cost,,,,,
597,costume,,,,,
598,cottage,,,,,
599,cotton,,,,,
600,could,,,,,
601,council,,,,,
602,count,,,,,
603,country,,,,,
604,countryside,,,,,
605,county,,,,,
606,couple,,,,,
607,courage,,,,,
608,course,,,,,
609,court,,,,,
610,cousin,,,,,
611,cover,,,,,
612,covered,,,,,
613,cow,,,,,
614,crash,,,,,
615,crazy,,,,,
616,cream,,,,,
617,create,,,,,
618,creation,,,,,
619,creative,,,,,
620,creature,,,,,
621,credit,,,,,
622,crew,,,,,
623,crime,,,,,
624,criminal,,,,,
625,crisis,,,,,
626,criterion,,,,,
627,critic,,,,,
628,critical,,,,,
629,criticism,,,,,
630,criticize,,,,,
631,crop,,,,,
632,cross,,,,,
633,crowd,,,,,
634,crowded,,,,,
635,crucial,,,,,
636,cruel,,,,,
637,cry,,,,,
638,cultural,,,,,
639,culture,,,,,
640,cup,,,,,
641,cupboard,,,,,
642,cure,,,,,
643,curly,,,,,
644,currency,,,,,
645,current,,,,,
646,currently,,,,,
647,curtain,,,,,
648,curve,,,,,
649,curved,,,,,
650,custom,,,,,
651,customer,,,,,
652,cut,,,,,
653,cycle,,,,,
654,dad,,,,,
655,daily,,,,,
656,damage,,,,,
657,dance,,,,,
658,dancer,,,,,
659,dancing,,,,,
660,danger,,,,,
661,dangerous,,,,,
662,dark,,,,,
663,data,,,,,
664,date,,,,,
665,daughter,,,,,
666,day,,,,,
667,dead,,,,,
668,deal,,,,,
669,dear,,,,,
670,death,,,,,
671,debate,,,,,
672,debt,,,,,
673,decade,,,,,
674,December,,,,,
675,decent,,,,,
676,decide,,,,,
677,decision,,,,,
678,declare,,,,,
679,decline,,,,,
680,decorate,,,,,
681,decoration,,,,,
682,decrease,,,,,
683,deep,,,,,
684,deeply,,,,,
685,defeat,,,,,
686,defence,,,,,
687,defend,,,,,
688,define,,,,,
689,definite,,,,,
690,definitely,,,,,
691,definition,,,,,
692,degree,,,,,
693,delay,,,,,
694,deliberate,,,,,
695,deliberately,,,,,
696,delicious,,,,,
697,delight,,,,,
698,delighted,,,,,
699,deliver,,,,,
700,delivery,,,,,
701,demand,,,,,
702,demonstrate,,,,,
703,dentist,,,,,
704,deny,,,,,
705,department,,,,,
706,departure,,,,,
707,depend,,,,,
708,depressed,,,,,
709,depressing,,,,,
710,depth,,,,,
711,describe,,,,,
712,description,,,,,
713,desert,,,,,
714,deserve,,,,,
715,design,,,,,
716,designer,,,,,
717,desire,,,,,
718,desk,,,,,
719,desperate,,,,,
720,despite,,,,,
721,destination,,,,,
722,destroy,,,,,
723,detail,,,,,
724,detailed,,,,,
725,detect,,,,,
726,detective,,,,,
727,determine,,,,,
728,determined,,,,,
729,develop,,,,,
730,development,,,,,
731,device,,,,,
732,diagram,,,,,
733,dialogue,,,,,
734,diamond,,,,,
735,diary,,,,,
736,dictionary,,,,,
737,die,,,,,
738,diet,,,,,
739,difference,,,,,
740,different,,,,,
741,differently,,,,,
742,difficult,,,,,
743,difficulty,,,,,
744,dig,,,,,
745,digital,,,,,
746,dinner,,,,,
747,direct,,,,,
748,direction,,,,,
749,directly,,,,,
750,director,,,,,
751,dirt,,,,,
752,dirty,,,,,
753,disadvantage,,,,,
754,disagree,,,,,
755,disappear,,,,,
756,disappointed,,,,,
757,disappointing,,,,,
758,disaster,,,,,
759,disc,,,,,
760,discipline,,,,,
761,discount,,,,,
762,discover,,,,,
763,discovery,,,,,
764,discuss,,,,,
765,discussion,,,,,
766,disease,,,,,
767,dish,,,,,
768,dishonest,,,,,
769,dislike,,,,,
770,dismiss,,,,,
771,display,,,,,
772,distance,,,,,
773,distribute,,,,,
774,distribution,,,,,
775,district,,,,,
776,divide,,,,,
777,division,,,,,
778,divorced,,,,,
779,do1,,,,,
780,doctor,,,,,
781,document,,,,,
782,documentary,,,,,
783,dog,,,,,
784,dollar,,,,,
785,domestic,,,,,
786,dominate,,,,,
787,donate,,,,,
788,door,,,,,
789,double,,,,,
790,adv.,,,,,
791,doubt,,,,,
792,down,,,,,
793,download,,,,,
794,downstairs,,,,,
795,downwards,,,,,
796,dozen,,,,,
797,draft,,,,,
798,drag,,,,,
799,drama,,,,,
800,dramatic,,,,,
801,draw,,,,,
802,drawing,,,,,
803,dream,,,,,
804,dress,,,,,
805,dressed,,,,,
806,drink,,,,,
807,drive,,,,,
808,driver,,,,,
809,driving,,,,,
810,drop,,,,,
811,drug,,,,,
812,drum,,,,,
813,drunk,,,,,
814,dry,,,,,
815,due,,,,,
816,during,,,,,
817,dust,,,,,
818,duty,,,,,
819,DVD,,,,,
820,each,,,,,
821,ear,,,,,
822,early,,,,,
823,earn,,,,,
824,earth,,,,,
825,earthquake,,,,,
826,easily,,,,,
827,east,,,,,
828,eastern,,,,,
829,easy,,,,,
830,eat,,,,,
831,economic,,,,,
832,economy,,,,,
833,edge,,,,,
834,edit,,,,,
835,edition,,,,,
836,editor,,,,,
837,educate,,,,,
838,educated,,,,,
839,education,,,,,
840,educational,,,,,
841,effect,,,,,
842,effective,,,,,
843,effectively,,,,,
844,efficient,,,,,
845,effort,,,,,
846,egg,,,,,
847,eight,,,,,
848,eighteen,,,,,
849,eighty,,,,,
850,either,,,,,
851,elderly,,,,,
852,elect,,,,,
853,election,,,,,
854,electric,,,,,
855,electrical,,,,,
856,electricity,,,,,
857,electronic,,,,,
858,element,,,,,
859,elephant,,,,,
860,eleven,,,,,
861,else,,,,,
862,elsewhere,,,,,
863,email,,,,,
864,embarrassed,,,,,
865,embarrassing,,,,,
866,emerge,,,,,
867,emergency,,,,,
868,emotion,,,,,
869,emotional,,,,,
870,emphasis,,,,,
871,emphasize,,,,,
872,employ,,,,,
873,employee,,,,,
874,employer,,,,,
875,employment,,,,,
876,empty,,,,,
877,enable,,,,,
878,encounter,,,,,
879,encourage,,,,,
880,end,,,,,
881,ending,,,,,
882,enemy,,,,,
883,energy,,,,,
884,engage,,,,,
885,engaged,,,,,
886,engine,,,,,
887,engineer,,,,,
888,engineering,,,,,
889,enhance,,,,,
890,enjoy,,,,,
891,enormous,,,,,
892,enough,,,,,
893,enquiry,,,,,
894,ensure,,,,,
895,enter,,,,,
896,entertain,,,,,
897,entertainment,,,,,
898,enthusiasm,,,,,
899,enthusiastic,,,,,
900,entire,,,,,
901,entirely,,,,,
902,entrance,,,,,
903,entry,,,,,
904,environment,,,,,
905,environmental,,,,,
906,episode,,,,,
907,equal,,,,,
908,equally,,,,,
909,equipment,,,,,
910,error,,,,,
911,escape,,,,,
912,especially,,,,,
913,essay,,,,,
914,essential,,,,,
915,establish,,,,,
916,estate,,,,,
917,estimate,,,,,
918,ethical,,,,,
919,euro,,,,,
920,evaluate,,,,,
921,even,,,,,
922,evening,,,,,
923,event,,,,,
924,eventually,,,,,
925,ever,,,,,
926,every,,,,,
927,everybody,,,,,
928,everyday,,,,,
929,everyone,,,,,
930,everything,,,,,
931,everywhere,,,,,
932,evidence,,,,,
933,evil,,,,,
934,exact,,,,,
935,exactly,,,,,
936,exam,,,,,
937,examination,,,,,
938,examine,,,,,
939,example,,,,,
940,excellent,,,,,
941,except,,,,,
942,exchange,,,,,
943,excited,,,,,
944,excitement,,,,,
945,exciting,,,,,
946,excuse,,,,,
947,executive,,,,,
948,exercise,,,,,
949,exhibition,,,,,
950,exist,,,,,
951,existence,,,,,
952,expand,,,,,
953,expect,,,,,
954,expectation,,,,,
955,expected,,,,,
956,expedition,,,,,
957,expense,,,,,
958,expensive,,,,,
959,experience,,,,,
960,experienced,,,,,
961,experiment,,,,,
962,expert,,,,,
963,explain,,,,,
964,explanation,,,,,
965,explode,,,,,
966,exploration,,,,,
967,explore,,,,,
968,explosion,,,,,
969,export,,,,,
970,expose,,,,,
971,express,,,,,
972,expression,,,,,
973,extend,,,,,
974,extent,,,,,
975,external,,,,,
976,extra,,,,,
977,extraordinary,,,,,
978,extreme,,,,,
979,extremely,,,,,
980,eye,,,,,
981,face,,,,,
982,facility,,,,,
983,fact,,,,,
984,factor,,,,,
985,factory,,,,,
986,fail,,,,,
987,failure,,,,,
988,fair,,,,,
989,fairly,,,,,
990,faith,,,,,
991,fall,,,,,
992,false,,,,,
993,familiar,,,,,
994,family,,,,,
995,famous,,,,,
996,fan,,,,,
997,fancy,,,,,
998,fantastic,,,,,
999,far,,,,,
1000,farm,,,,,
1001,farmer,,,,,
1002,farming,,,,,
1003,fascinating,,,,,
1004,fashion,,,,,
1005,fashionable,,,,,
1006,fast,,,,,
1007,fasten,,,,,
1008,fat,,,,,
1009,father,,,,,
1010,fault,,,,,
1011,favour,,,,,
1012,favourite,,,,,
1013,fear,,,,,
1014,feather,,,,,
1015,feature,,,,,
1016,February,,,,,
1017,fee,,,,,
1018,feed,,,,,
1019,feedback,,,,,
1020,feel,,,,,
1021,feeling,,,,,
1022,fellow,,,,,
1023,female,,,,,
1024,fence,,,,,
1025,festival,,,,,
1026,few,,,,,
1027,fiction,,,,,
1028,field,,,,,
1029,fifteen,,,,,
1030,fifth,,,,,
1031,fifty,,,,,
1032,fight,,,,,
1033,fighting,,,,,
1034,figure,,,,,
1035,file,,,,,
1036,fill,,,,,
1037,film,,,,,
1038,final,,,,,
1039,finally,,,,,
1040,finance,,,,,
1041,financial,,,,,
1042,find,,,,,
1043,finding,,,,,
1044,fine,,,,,
1045,finger,,,,,
1046,finish,,,,,
1047,fire,,,,,
1048,firm,,,,,
1049,first,,,,,
1050,firstly,,,,,
1051,fish,,,,,
1052,fishing,,,,,
1053,fit,,,,,
1054,fitness,,,,,
1055,five,,,,,
1056,fix,,,,,
1057,fixed,,,,,
1058,flag,,,,,
1059,flame,,,,,
1060,flash,,,,,
1061,flat,,,,,
1062,flexible,,,,,
1063,flight,,,,,
1064,float,,,,,
1065,flood,,,,,
1066,floor,,,,,
1067,flour,,,,,
1068,flow,,,,,
1069,flower,,,,,
1070,flu,,,,,
1071,fly,,,,,
1072,flying,,,,,
1073,focus,,,,,
1074,fold,,,,,
1075,folding,,,,,
1076,folk,,,,,
1077,follow,,,,,
1078,following,,,,,
1079,food,,,,,
1080,foot,,,,,
1081,football,,,,,
1082,for,,,,,
1083,force,,,,,
1084,foreign,,,,,
1085,forest,,,,,
1086,forever,,,,,
1087,forget,,,,,
1088,forgive,,,,,
1089,fork,,,,,
1090,form,,,,,
1091,formal,,,,,
1092,former,,,,,
1093,fortunately,,,,,
1094,fortune,,,,,
1095,forty,,,,,
1096,forward,,,,,
1097,found,,,,,
1098,four,,,,,
1099,fourteen,,,,,
1100,fourth,,,,,
1101,frame,,,,,
1102,free,,,,,
1103,freedom,,,,,
1104,freeze,,,,,
1105,frequency,,,,,
1106,frequently,,,,,
1107,fresh,,,,,
1108,Friday,,,,,
1109,fridge,,,,,
1110,friend,,,,,
1111,friendly,,,,,
1112,friendship,,,,,
1113,frighten,,,,,
1114,frightened,,,,,
1115,frightening,,,,,
1116,frog,,,,,
1117,from,,,,,
1118,front,,,,,
1119,frozen,,,,,
1120,fruit,,,,,
1121,fry,,,,,
1122,fuel,,,,,
1123,full,,,,,
1124,fully,,,,,
1125,fun,,,,,
1126,function,,,,,
1127,fund,,,,,
1128,fundamental,,,,,
1129,funding,,,,,
1130,funny,,,,,
1131,fur,,,,,
1132,furniture,,,,,
1133,further,,,,,
1134,furthermore,,,,,
1135,future,,,,,
1136,gain,,,,,
1137,gallery,,,,,
1138,game,,,,,
1139,gang,,,,,
1140,gap,,,,,
1141,garage,,,,,
1142,garden,,,,,
1143,gas,,,,,
1144,gate,,,,,
1145,gather,,,,,
1146,general,,,,,
1147,generally,,,,,
1148,generate,,,,,
1149,generation,,,,,
1150,generous,,,,,
1151,genre,,,,,
1152,gentle,,,,,
1153,gentleman,,,,,
1154,geography,,,,,
1155,get,,,,,
1156,ghost,,,,,
1157,giant,,,,,
1158,gift,,,,,
1159,girl,,,,,
1160,girlfriend,,,,,
1161,give,,,,,
1162,glad,,,,,
1163,glass,,,,,
1164,global,,,,,
1165,glove,,,,,
1166,go,,,,,
1167,goal,,,,,
1168,god,,,,,
1169,gold,,,,,
1170,golf,,,,,
1171,good,,,,,
1172,goodbye,,,,,
1173,goods,,,,,
1174,govern,,,,,
1175,government,,,,,
1176,grab,,,,,
1177,grade,,,,,
1178,gradually,,,,,
1179,graduate,,,,,
1180,grain,,,,,
1181,grand,,,,,
1182,grandfather,,,,,
1183,grandmother,,,,,
1184,grandparent,,,,,
1185,grant,,,,,
1186,grass,,,,,
1187,grateful,,,,,
1188,great,,,,,
1189,green,,,,,
1190,greet,,,,,
1191,grey,,,,,
1192,ground,,,,,
1193,group,,,,,
1194,grow,,,,,
1195,growth,,,,,
1196,guarantee,,,,,
1197,guard,,,,,
1198,guess,,,,,
1199,guest,,,,,
1200,guide,,,,,
1201,guilty,,,,,
1202,guitar,,,,,
1203,gun,,,,,
1204,guy,,,,,
1205,gym,,,,,
1206,habit,,,,,
1207,hair,,,,,
1208,half,,,,,
1209,hall,,,,,
1210,hand,,,,,
1211,handle,,,,,
1212,hang,,,,,
1213,happen,,,,,
1214,happily,,,,,
1215,happiness,,,,,
1216,happy,,,,,
1217,hard,,,,,
1218,hardly,,,,,
1219,harm,,,,,
1220,harmful,,,,,
1221,hat,,,,,
1222,hate,,,,,
1223,have,,,,,
1224,haveï¿½to,,,,,
1225,he,,,,,
1226,head,,,,,
1227,headache,,,,,
1228,headline,,,,,
1229,health,,,,,
1230,healthy,,,,,
1231,hear,,,,,
1232,hearing,,,,,
1233,heart,,,,,
1234,heat,,,,,
1235,heating,,,,,
1236,heaven,,,,,
1237,heavily,,,,,
1238,heavy,,,,,
1239,heel,,,,,
1240,height,,,,,
1241,helicopter,,,,,
1242,hell,,,,,
1243,hello,,,,,
1244,help,,,,,
1245,helpful,,,,,
1246,her,,,,,
1247,here,,,,,
1248,hero,,,,,
1249,hers,,,,,
1250,herself,,,,,
1251,hesitate,,,,,
1252,hey,,,,,
1253,hi,,,,,
1254,hide,,,,,
1255,high,,,,,
1256,highlight,,,,,
1257,highly,,,,,
1258,hill,,,,,
1259,him,,,,,
1260,himself,,,,,
1261,hire,,,,,
1262,his,,,,,
1263,historic,,,,,
1264,historical,,,,,
1265,history,,,,,
1266,hit,,,,,
1267,hobby,,,,,
1268,hockey,,,,,
1269,hold,,,,,
1270,hole,,,,,
1271,holiday,,,,,
1272,hollow,,,,,
1273,holy,,,,,
1274,home,,,,,
1275,homework,,,,,
1276,honest,,,,,
1277,honour,,,,,
1278,hope,,,,,
1279,horrible,,,,,
