,en,fr,es,de,ru,pl
100,amount,montant,cantidad,Menge,количество,kwota
101,analyse,analyser,analizar,analysieren,анализировать,analizować
102,analysis,analyse,análisis,Analyse,анализ,analiza
103,ancient,ancien,antiguo,uralt,древний,starożytny
104,and,et,y,Und,и,I
105,anger,colère,enojo,Wut,злость,gniew
106,angle,angle,ángulo,Winkel,угол,kąt
107,angry,en colère,enojado,wütend,злой,zły
108,animal,animal,animal,Tier,животное,zwierzę
109,ankle,cheville,tobillo,Knöchel,лодыжка,kostka
110,anniversary,anniversaire,aniversario,Jubiläum,годовщина,rocznica
111,announce,annoncer,anunciar,anmelden,объявить,ogłaszać
112,announcement,annonce,anuncio,Bekanntmachung,объявление,ogłoszenie
113,annoy,ennuyer,enojarse,belästigen,раздражать,drażnić
114,annoyed,agacé,enojado,verärgert,раздраженный,zirytowany
115,annoying,ennuyeux,irritante,nervig,раздражающий,irytujący
116,annual,annuel,anual,jährlich,ежегодный,coroczny
117,another,un autre,otro,ein anderer,другой,inny
118,answer,répondre,respuesta,Antwort,отвечать,odpowiedź
119,anxious,anxieux,ansioso,ängstlich,тревожный,niespokojny
120,any,n'importe lequel,cualquier,beliebig,любой,każdy
121,anybody,personne,cualquiera,jemand,любой,ktoś
122,any more,n'importe quoi,cualquiera,Jeder,любой,Każdy więcej
123,anyone,n'importe qui,alguien,irgendjemand,любой,ktokolwiek
124,anything,rien,cualquier cosa,irgendetwas,что-либо,wszystko
125,anyway,de toute façon,de todos modos,Trotzdem,в любом случае,W każdym razie
126,anywhere,n'importe où,en cualquier lugar,überall,где угодно,gdziekolwiek
127,apart,à part,aparte,auseinander,отдельно,oprócz
128,apartment,appartement,departamento,Wohnung,квартира,apartament
129,apologize,s'excuser,disculparse,sich entschuldigen,извиняться,przepraszać
130,app,appliquer,aplicación,App,приложение,App
131,apparent,apparent,aparente,ersichtlich,очевидный,pozorny
132,apparently,apparemment,aparentemente,scheinbar,видимо,najwyraźniej
133,appeal,appel,apelar,appellieren,обращаться,odwołanie
134,appear,apparaître,aparecer,erscheinen,появляться,pojawić się
135,appearance,apparence,apariencia,Aussehen,появление,wygląd
136,apple,pomme,manzana,Apfel,яблоко,jabłko
137,application,application,solicitud,Anwendung,приложение,aplikacja
138,apply,appliquer,aplicar,anwenden,применять,stosować
139,appointment,rendez-vous,cita,Termin,встреча,spotkanie
140,appreciate,apprécier,agradecer,anerkennen,ценить,doceniać
141,approach,approche,acercarse,Ansatz,подход,zbliżać się
142,appropriate,approprié,adecuado,geeignet,соответствующий,odpowiedni
143,approval,approbation,aprobación,Genehmigung,одобрение,aprobata
144,approve,approuver,aprobar,genehmigen,утвердить,zatwierdzić
145,approximately,environ,aproximadamente,etwa,примерно,około
146,April,Avril,Abril,April,Апрель,Kwiecień
147,architect,architecte,arquitecto,Architekt,архитектор,architekt
148,architecture,architecture,arquitectura,Architektur,архитектура,architektura
149,area,zone,área,Bereich,область,obszar
150,argue,argumenter,argumentar,argumentieren,спорить,kłócić się
151,argument,argument,argumento,Argument,аргумент,argument
152,arise,surgir,surgir,entstehen,возникнуть,powstać
153,arm,bras,brazo,Arm,рука,ramię
154,armed,armé,armado,bewaffnet,вооруженный,uzbrojony
155,arms,bras,brazos,Waffen,оружие,herb
156,army,armée,ejército,Armee,армия,armia
157,around,autour,alrededor,um,вокруг,wokół
158,arrange,organiser,arreglar,arrangieren,договариваться,zorganizować
159,arrangement,arrangement,acuerdo,Anordnung,договоренность,układ
160,arrest,arrêter,detención,verhaften,арест,aresztować
161,arrival,arrivée,llegada,Ankunft,прибытие,przyjazd
162,arrive,arriver,llegar,ankommen,приезжать,przyjechać
163,art,art,arte,Kunst,искусство,sztuka
164,article,article,artículo,Artikel,статья,artykuł
165,artificial,artificiel,artificial,künstlich,искусственный,sztuczny
166,artist,artiste,artista,Künstler,художник,artysta
167,artistic,artistique,artístico,künstlerisch,художественный,artystyczny
168,as,comme,como,als,как,Jak
169,ashamed,honteux,avergonzado,beschämt,стыдящийся,zawstydzony
170,ask,demander,preguntar,fragen,просить,zapytać
171,asleep,endormi,dormido,schlafend,спящий,we śnie
172,aspect,aspect,aspecto,Aspekt,аспект,aspekt
173,assess,évaluer,evaluar,bewerten,оценивать,oceniać
174,assessment,évaluation,evaluación,Bewertung,оценка,ocena
175,assignment,affectation,asignación,Abtretung,назначение,zadanie
176,assist,assister,asistir,helfen,помощь,wspierać
177,assistant,assistant,asistente,Assistent,помощник,asystent
178,associate,associé,asociado,assoziieren,Ассоциирован,współpracownik
179,associated,associé,asociado,verbunden,Асвязанный,powiązany
180,association,association,asociación,Verein,ассоциация,stowarzyszenie
181,assume,supposer,asumir,annehmen,предполагать,przypuszczać
182,at,à,en,bei,в,Na
183,athlete,athlète,atleta,Athlet,спортсмен,sportowiec
184,atmosphere,atmosphère,atmósfera,Atmosphäre,атмосфера,atmosfera
185,attach,attacher,adjuntar,befestigen,прикреплять,przytwierdzać
186,attack,attaque,ataque,Angriff,атака,atak
187,attempt,tentative,intentar,versuchen,пытаться,próba
188,attend,assister à,asistir,teilnehmen,посещать,brać udział
189,attention,attention,atención,Aufmerksamkeit,внимание,uwaga
190,attitude,attitude,actitud,Attitüde,отношение,postawa
191,attract,attirer,atraer,anziehen,привлекать,pociągać
192,attraction,attirance,atracción,Attraktion,притяжение,atrakcja
193,attractive,attractif,atractivo,attraktiv,привлекательный,atrakcyjny
194,audience,public,audiencia,Publikum,аудитория,publiczność
195,August,Août,Agosto,August,Август,Sierpień
196,aunt,tante,tía,Tante,тетя,ciotka
197,author,auteur,autor,Autor,автор,autor
198,authority,autorité,autoridad,Behörde,власть,władza
199,autumn,automne,otoño,Herbst,осень,jesień
200,available,disponible,disponible,verfügbar,доступный,dostępny
201,average,moyenne,promedio,Durchschnitt,средний,przeciętny
202,avoid,éviter,evitar,vermeiden,избегать,unikać
203,award,prix,otorgar,vergeben,премия,nagroda
204,aware,conscient,consciente,bewusst,осведомленный,świadomy
205,away,loin,lejos,weg,прочь,z dala
206,awful,affreux,horrible,schrecklich,ужасный,okropny
207,baby,bébé,bebé,Baby,малыш,Dziecko
208,back,dos,atrás,zurück,назад,z powrotem
209,background,arrière-plan,fondo,Hintergrund,фон,tło
210,backwards,en arrière,hacia atrás,rückwärts,назад,wstecz
211,bacteria,bactéries,bacterias,Bakterien,бактерии,bakteria
212,bad,mauvais,malo,schlecht,плохой,zły
213,badly,gravement,gravemente,schlecht,плохо,źle
214,bag,sac,bolsa,Tasche,сумка,torba
215,bake,cuire,hornear,backen,выпекать,upiec
216,balance,équilibre,balance,Gleichgewicht,баланс,balansować
217,ball,balle,pelota,Ball,мяч,piłka
218,ban,interdire,prohibición,Verbot,запрет,zakaz
219,banana,banane,banana,Banane,банан,banan
220,band,groupe,banda,Band,группа,zespół
221,bank,banque,banco,Bank,банк,bank
222,bank,banque,banco,Bank,банк,bank
223,bar,bar,bar,Bar,бар,bar
224,barrier,barrière,barrera,Barriere,барьер,bariera
225,base,base,base,Base,база,opierać
226,baseball,base-ball,béisbol,Baseball,бейсбол,baseball
227,based,basé,basado,basierend,основанный на,na podstawie
228,basic,basique,básico,Basic,базовый,podstawowy
229,basically,essentiellement,básicamente,grundsätzlich,по сути,zasadniczo
230,basis,base,base,Basis,основа,podstawa
231,basketball,basket-ball,baloncesto,Basketball,баскетбол,koszykówka
232,bath,bain,baño,Bad,ванна,wanna
233,bathroom,salle de bain,baño,Badezimmer,ванная комната,łazienka
234,battery,batterie,batería,Batterie,батарея,bateria
235,battle,bataille,batalla,Schlacht,боевой,bitwa
236,be,être,ser,Sei,быть,Być
237,beach,plage,playa,Strand,пляж,plaża
238,bean,haricot,frijol,Bohne,фасоль,fasola
239,bear,ours,oso,tragen,медведь,niedźwiedź
240,bear,ours,oso,tragen,медведь,niedźwiedź
241,beat,battre,derrotar,schlagen,бить,pokonać
242,beautiful,beau,hermoso,Schön,красивый,Piękny
243,beauty,beauté,belleza,Schönheit,красота,uroda
244,because,parce que,porque,Weil,потому что,ponieważ
245,become,devenir,convertirse,werden,становиться,stać się
246,bed,lit,cama,Bett,кровать,łóżko
247,bedroom,chambre à coucher,dormitorio,Schlafzimmer,спальня,sypialnia
248,bee,abeille,abeja,Biene,пчела,pszczoła
249,beef,bœuf,carne de res,Rindfleisch,говядина,wołowina
250,beer,bière,cerveza,Bier,пиво,piwo
251,before,avant,antes,vor,до,zanim
252,beg,mendier,mendigar,bitten,просие,błagać
253,begin,commencer,comenzar,beginnen,начинать,zaczynać
254,beginning,début,comienzo,Anfang,начало,początek
255,behave,se comporter,comportarse,benehmen,вести себя,zachowywać się
256,behaviour,comportement,comportamiento,Verhalten,поведение,zachowanie
257,behind,derrière,detrás,hinter,позади,za
258,being,être,ser,Sein,существование,istnienie
259,belief,croyance,creencia,Glauben,вера,wiara
260,believe,croire,creer,glauben,полагать,uważać
261,bell,cloche,campana,Glocke,колокол,dzwonek
262,belong,appartenir,pertenecer,gehören,принадлежать,przynależeć
263,below,ci-dessous,abajo,unten,ниже,poniżej
264,belt,ceinture,cinturón,Gürtel,пояс,pasek
265,bend,plier,doblar,biegen,сгибать,schylać się
266,benefit,avantage,beneficio,Nutzen,выгода,korzyść
267,bent,courbé,doblado,gebogen,наклонный,zgięty
268,best,meilleur,mejor,am besten,лучший,"to, co najlepsze"
269,bet,pari,apuesta,Wette,ставка,zakład
270,better,mieux,mejor,besser,лучше,lepsza
271,between,entre,entre,zwischen,между,między
272,beyond,au-delà,más allá de,darüber hinaus,вне,poza
273,bicycle,vélo,bicicleta,Fahrrad,велосипед,rower
274,big,grand,grande,groß,большой,duży
275,bike,vélo,bicicleta,Fahrrad,велосипед,rower
276,bill,facture,factura,Rechnung,счет,rachunek
277,billion,milliard,mil millones,Milliarde,миллиард,miliard
278,bin,bac,papelera,Mülleimer,бин,kosz
279,biology,biologie,biología,Biologie,биология,biologia
280,bird,oiseau,pájaro,Vogel,птица,ptak
281,birth,naissance,nacimiento,Geburt,рождение,narodziny
282,birthday,anniversaire,cumpleaños,Geburtstag,день рождения,urodziny
283,biscuit,biscuit,galleta,Keks,бисквит,suchar
284,bit,peu,poco,bisschen,кусочек,fragment
285,bite,mordre,morder,beißen,кусать,ugryzienie
286,bitter,amer,amargo,bitter,горький,gorzki
287,black,noir,negro,Schwarz,черный,czarny
288,blame,blâmer,culpa,beschuldigen,обвинять,winić
289,blank,vide,blanco,leer,пустой,pusty
290,blind,aveugle,ciego,blind,слепой,ślepy
291,block,bloc,bloquear,Block,блокировать,blok
292,blog,blog,blog,Blog,блог,blog
293,blonde,blond,rubio,blond,блондинка,blondynka
294,blood,sang,sangre,Blut,кровь,krew
295,blow,souffler,explotar,Schlag,дуть,cios
296,blue,bleu,azul,Blau,синий,niebieski
297,board,conseil,junta,Planke,доска,tablica
298,boat,bateau,bote,Boot,лодка,łódź
299,body,corps,cuerpo,Körper,тело,ciało
300,boil,bouillir,hervir,kochen,кипение,gotować
301,bomb,bombe,bomba,Bombe,бомбить,bomba
302,bond,lier,vínculo,Bindung,связь,obligacja
303,bone,os,hueso,Knochen,кость,kość
304,book,livre,libro,Buch,книга,książka
305,boot,botte,bota,Stiefel,ботинок,uruchomić
306,border,frontière,borde,Grenze,граница,granica
307,bored,ennuyé,aburrido,gelangweilt,скучающий,znudzony
308,boring,ennuyeux,aburrido,langweilig,скучный,nudny
309,born,né,nacido,geboren,рожденный,urodzić się
310,borrow,emprunter,pedir prestado,ausleihen,занимать,pożyczyć
311,boss,chef,jefe,Chef,босс,szef
312,both,les deux,ambos,beide,оба,Zarówno
313,bother,déranger,molestar,sich kümmern,беспокоить,silić się
314,bottle,bouteille,botella,Flasche,бутылка,butelka
315,bottom,bas,abajo,unten,нижний,spód
316,bowl,bol,bol,Schüssel,чаша,miska
317,box,boîte,caja,Kasten,коробка,skrzynka
318,boy,garçon,chico,Junge,мальчик,chłopiec
319,boyfriend,petit ami,novio,Freund,парень,sympatia
320,brain,cerveau,cerebro,Gehirn,мозг,mózg
321,branch,bifurquer,rama,Zweig,ветвь,oddział
322,brand,marque,marca,Marke,бренд,marka
323,brave,courageux,corajudo,mutig,храбрый,odważny
324,bread,pain,pan,brot,хлеб,chleb
325,break,casser,romper,brechen,перерыв,przerwa
326,breakfast,petit-déjeuner,desayuno,Frühstück,завтрак,śniadanie
327,breast,sein,mama,Brust,грудь,pierś
328,breath,haleine,aliento,Atem,дыхание,oddech
329,breathe,respirer,respirar,atmen,дышать,oddychać
330,breathing,respiration,respiración,Atmung,дыхание,oddechowy
331,bride,mariée,novia,Braut,невеста,panna młoda
332,bridge,pont,puente,Brücke,мост,most
333,brief,bref,breve,knapp,краткий,krótki
334,bright,brillant,brillante,hell,яркий,jasny
335,brilliant,brillant,brillante,Brillant,блестящий,genialny
336,bring,apporter,traer,bringen,приносить,przynieść
337,broad,large,amplio,breit,широкий,szeroki
338,broadcast,diffuser,transmisión,übertragen,транслировать,audycja
339,broken,cassé,roto,gebrochen,сломанный,złamany
340,brother,frère,hermano,Bruder,брат,brat
341,brown,brun,marrón,braun,коричневый,brązowy
342,brush,brosse,cepillar,Bürste,щетка,szczotka
343,bubble,bulle,burbuja,Blase,пузырь,bańka
344,budget,budget,presupuesto,Budget,бюджет,budżet
345,build,construire,construir,bauen,строить,zbudować
346,building,bâtiment,edificio,Gebäude,здание,budynek
347,bullet,balle,bala,Kugel,пуля,kula
348,bunch,bouquet,racimo,Bündel,связка,garść
349,burn,brûler,quemar,brennen,гореть,oparzenie
350,bury,enterrer,enterrar,begraben,хоронить,pogrzebać
351,bus,bus,autobús,Bus,автобус,autobus
352,bush,buisson,arbusto,Busch,куст,krzak
353,business,entreprise,negocio,Geschäft,бизнес,biznes
354,businessman,homme d'affaires,hombre de negocios,Geschäftsmann,бизнесмен,biznesmen
355,busy,occupé,ocupado,beschäftigt,занятый,zajęty
356,but,mais,pero,Aber,но,Ale
357,butter,beurre,manteca,Butter,масло,masło
358,button,bouton,botón,Taste,кнопка,przycisk
359,buy,acheter,comprar,kaufen,купить,kupić
360,by,par,por,von,к,przez
361,bye,au revoir,adiós,Tschüss,пока,do widzenia
362,cable,câble,cable,Kabel,кабель,kabel
363,cafe,café,cafetería,Cafe,кафе,kawiarnia
364,cake,gâteau,pastel,Kuchen,торт,ciasto
365,calculate,calculer,calcular,berechnen,рассчитать,obliczać
366,call,appel,llamar,Anruf,вызов,dzwonić
367,calm,calme,calma,ruhig,спокойствие,spokój
368,camera,caméra,cámara,Kamera,камера,kamera
369,camp,camp,acampar,Lager,лагерь,obóz
370,campaign,campagne,campaña,Kampagne,кампания,kampania
371,camping,camping,cámping,Camping,кемпинг,kemping
372,campus,campus,campus,Campus,кампус,kampus
373,can1,can1,lata,Can1,Can1,can1
374,can2,can2,Can2,Can2,Can2,can2
375,cancel,Annuler,Cancelar,stornieren,отмена,anulować
376,cancer,cancer,cáncer,Krebs,рак,rak
377,candidate,candidat,candidato,Kandidat,кандидат,kandydat
378,cannot,ne peut pas,no puedo,kann nicht,не может,nie może
379,cap,capuchon,tapa,Kappe,капля,czapka
380,capable,capable,capaz,fähig,способный,zdolny
381,capacity,capacité,capacidad,Kapazität,емкость,pojemność
382,capital,capital,capital,Hauptstadt,капитал,kapitał
383,captain,capitaine,capitán,Kapitän,капитан,kapitan
384,capture,capturer,captura,erfassen,захватывать,schwytać
385,car,voiture,auto,Auto,машина,samochód
386,card,carte,tarjeta,Karte,карта,karta
387,care,soins,cuidado,Pflege,уход,pielęgnacja
388,career,carrière,carrera,Karriere,карьера,kariera
389,careful,prudent,cuidadoso,vorsichtig,осторожный,ostrożny
390,carefully,soigneusement,con cuidado,sorgfältig,осторожно,ostrożnie
391,careless,imprudent,descuidado,nachlässig,беспечный,niedbały
392,carpet,tapis,alfombra,Teppich,ковер,dywan
393,carrot,carotte,zanahoria,Karotte,морковь,marchew
394,carry,porter,llevar,tragen,нести,nosić
395,cartoon,dessin animé,dibujos animados,Karikatur,мультфильм,rysunek
396,case,cas,caso,Fall,случай,sprawa
397,cash,espèces,dinero,Kasse,наличные,gotówka
398,cast,casting,elenco,gießen,бросать,rzucać
399,castle,château,castillo,Schloss,замок,zamek
400,cat,chat,gato,Katze,кот,kot
401,catch,attraper,atrapar,fangen,ловить,złapać
402,category,catégorie,categoría,Kategorie,категория,kategoria
403,cause,cause,causa,Ursache,причина,przyczyna
404,CD,CD,CD,CD,Диск,płyta CD
405,ceiling,plafond,techo,Decke,потолок,sufit
406,celebrate,célébrer,celebrar,feiern,праздновать,świętować
407,celebration,célébration,celebración,Feier,Празднование,uroczystość
408,celebrity,célébrité,celebridad,Berühmtheit,знаменитость,sława
409,cell,cellule,celúla,Zelle,клетка,komórka
410,cent,cent,centavo,Cent,цент,cent
411,central,central,central,zentral,центральный,centralny
412,centre,centre,centro,Center,центр,centrum
413,century,siècle,siglo,Jahrhundert,век,wiek
414,ceremony,cérémonie,ceremonia,Zeremonie,церемония,ceremonia
415,certain,certain,cierto,bestimmt,определенный,niektórzy
416,certainly,certainement,ciertamente,sicherlich,конечно,z pewnością
417,chain,chaîne,cadena,Kette,цепь,łańcuch
418,chair,chaise,silla,Stuhl,стул,krzesło
419,chairman,président,presidente,Vorsitzende,председатель,przewodniczący
420,challenge,défi,desafío,Herausforderung,испытание,wyzwanie
421,champion,champion,campeón,Champion,чемпион,mistrz
422,chance,chance,oportunidad,Chance,шанс,szansa
423,change,changement,cambiar,ändern,изменять,zmiana
424,channel,canal,canal,Kanal,канал,kanał
425,chapter,chapitre,capítulo,Kapitel,глава,rozdział
426,character,personnage,personaje,Charakter,характер,charakter
427,characteristic,caractéristiques,característica,Merkmal,характеристика,charakterystyczny
428,charge,charge,cargar,Aufladung,заряжать,opłata
429,charity,charité,caridad,Wohltätigkeit,благотворительность,organizacja pożytku publicznego
430,chart,graphique,cuadro,Diagramm,диаграмма,wykres
431,chat,chat,charlar,Chat,чат,pogawędzić
432,cheap,bon marché,barato,billig,дешевый,tani
433,cheat,tricher,engañar,schummeln,изменять,oszukiwać
434,check,vérifier,controlar,überprüfen,проверять,sprawdzać
435,cheerful,joyeux,alegre,heiter,жизнерадостный,wesoły
436,cheese,fromage,queso,Käse,сыр,ser
437,chef,cuisinier,cocinero,Küchenchef,шеф -повар,szef kuchni
438,chemical,chimique,químico,Chemikalie,химический,chemiczny
439,chemistry,chimie,química,Chemie,химия,chemia
440,chest,poitrine,pecho,Brust,грудь,klatka piersiowa
441,chicken,poulet,pollo,Huhn,курица,kurczak
442,chief,chef,jefe,Chef,главный,szef
443,child,enfant,niño,Kind,ребенок,dziecko
444,childhood,enfance,infancia,Kindheit,детство,dzieciństwo
445,chip,ébrécher,chip,Chip,чип,żeton
446,chocolate,chocolat,chocolate,Schokolade,шоколад,czekolada
447,choice,choix,elección,Auswahl,выбор,wybór
448,choose,choisir,elegir,wählen,выбирать,wybierać
449,church,église,iglesia,Kirche,церковь,kościół
450,cigarette,cigarette,cigarrillo,Zigarette,сигарета,papieros
451,cinema,cinéma,cine,Kino,кино,kino
452,circle,cercle,círculo,Kreis,круг,koło
453,circumstance,circonstance,circunstancia,Umstand,обстоятельство,okoliczność
454,cite,citer,citar,zitieren,цитировать,cytować
455,citizen,citoyen,ciudadano,Bürger,гражданин,obywatel
456,city,ville,ciudad,Stadt,город,miasto
457,civil,civil,civil,bürgerlich,гражданский,cywilny
458,claim,réclamer,afirmar,beanspruchen,требовать,prawo
459,class,classe,clase,Klasse,сорт,klasa
460,classic,classique,clásico,Klassiker,Классик,klasyczny
461,classical,classique,clásico,klassisch,классический,klasyczny
462,classroom,classe,aula,Klassenzimmer,классная комната,klasa
463,clause,clause,cláusula,Klausel,пункт,klauzula
464,clean,faire le ménage,limpio,sauber,чистый,czysty
465,clear,clair,claro,klar,прозрачный,jasne
466,clearly,clairement,claramente,deutlich,четко,wyraźnie
467,clever,intelligent,inteligente,clever,умный,sprytny
468,click,faire un clic,hacer clic,klicken,нажимать,trzask
469,client,client,cliente,Kunde,клиент,klient
470,climate,climat,clima,Klima,климат,klimat
471,climb,grimper,trepar,Aufstieg,взбираться,wspinać się
472,clock,horloge,reloj,Uhr,часы,zegar
473,close1,Close1,cierre,Close1,закрыть1,Zamknij 1
474,close2,close2,cierre2,Close2,закрыть2,Close2
475,closed,fermé,cerrado,geschlossen,закрыто,Zamknięte
476,closely,étroitement,cercanamente,eng,близко,dokładnie
477,cloth,tissu,paño,Tuch,ткани,płótno
478,clothes,vêtements,ropa,Kleidung,одежда,odzież
479,clothing,vêtements,ropa,Kleidung,одежда,odzież
480,cloud,nuage,nube,Wolke,облако,chmura
481,club,club,club,Verein,клуб,klub
482,clue,indice,clave,Hinweis,зацепка,wskazówka
483,coach,entraîneur,entrenador,Trainer,тренер,trener
484,coal,charbon,carbón,Kohle,уголь,węgiel
485,coast,côte,costa,Küste,побережье,wybrzeże
486,coat,manteau,abrigo,Mantel,пальто,płaszcz
487,code,code,código,Code,код,kod
488,coffee,café,café,Kaffee,кофе,kawa
489,coin,pièce de monnaie,acuñar,Münze,монета,moneta
490,cold,froid,frío,kalt,холодный,zimno
491,collapse,effondrement,colapsar,Zusammenbruch,крах,zawalić się
492,colleague,collègue,colega,Kollege,коллега,kolega z pracy
493,collect,collecter,recolectar,sammeln,собирать,zbierać
494,collection,collection,recopilación,Sammlung,коллекция,kolekcja
495,college,collège,colega,Hochschule,колледж,kolegium
496,colour,couleur,color,Farbe,цвет,kolor
497,coloured,coloré,de colores,farbig,цветной,kolorowy
498,column,colonne,columna,Spalte,столбец,kolumna
499,combination,combinaison,combinación,Kombination,комбинация,połączenie
500,combine,combiner,combinar,kombinieren,комбинировать,łączyć
501,come,viens,venir,kommen,приходить,przychodzić
502,comedy,comédie,comedia,Komödie,комедия,komedia
503,comfort,confort,comodidad,Komfort,комфорт,komfort
504,comfortable,confortable,cómodo,komfortabel,комфортный,wygodny
505,command,commande,dominio,Befehl,командование,rozkaz
506,comment,commentaire,comentario,Kommentar,комментарий,komentarz
507,commercial,commercial,comercial,kommerziell,коммерческий,handlowy
